start_epoch,end_epoch,start_time,end_time,open,close,low,high,volume
1695713400,1695713640,2023-09-26 07:30:00+00:00,2023-09-26 07:34:00+00:00,26271.0,26273.32,26260.82,26273.33,8.690754
1695713700,1695713940,2023-09-26 07:35:00+00:00,2023-09-26 07:39:00+00:00,26270.92,26257.26,26251.21,26270.92,14.002624
1695714000,1695714240,2023-09-26 07:40:00+00:00,2023-09-26 07:44:00+00:00,26257.76,26254.63,26250.46,26259.95,7.682019
1695714300,1695714540,2023-09-26 07:45:00+00:00,2023-09-26 07:49:00+00:00,26254.33,26246.21,26244.92,26254.33,10.251863
1695714600,1695714840,2023-09-26 07:50:00+00:00,2023-09-26 07:54:00+00:00,26246.21,26276.01,26246.21,26277.01,10.487781
1695714900,1695715140,2023-09-26 07:55:00+00:00,2023-09-26 07:59:00+00:00,26276.01,26264.03,26262.08,26276.01,9.048185
1695715200,1695715440,2023-09-26 08:00:00+00:00,2023-09-26 08:04:00+00:00,26264.02,26276.76,26256.91,26276.78,7.734321
1695715500,1695715740,2023-09-26 08:05:00+00:00,2023-09-26 08:09:00+00:00,26276.76,26259.11,26258.15,26279.94,11.31192
1695715800,1695716040,2023-09-26 08:10:00+00:00,2023-09-26 08:14:00+00:00,26259.1,26266.12,26259.1,26274.86,8.296838
1695716100,1695716340,2023-09-26 08:15:00+00:00,2023-09-26 08:19:00+00:00,26266.12,26258.51,26256.4,26268.98,3.269709
1695716400,1695716640,2023-09-26 08:20:00+00:00,2023-09-26 08:24:00+00:00,26258.05,26264.27,26258.04,26271.1,7.468319
1695716700,1695716940,2023-09-26 08:25:00+00:00,2023-09-26 08:29:00+00:00,26264.26,26257.32,26250.8,26264.26,12.621882
1695717000,1695717240,2023-09-26 08:30:00+00:00,2023-09-26 08:34:00+00:00,26257.32,26248.84,26245.59,26257.32,16.407069
1695717300,1695717540,2023-09-26 08:35:00+00:00,2023-09-26 08:39:00+00:00,26249.17,26272.08,26249.17,26273.76,8.755759
1695717600,1695717840,2023-09-26 08:40:00+00:00,2023-09-26 08:44:00+00:00,26272.92,26267.73,26260.8,26272.92,4.810657
1695717900,1695718140,2023-09-26 08:45:00+00:00,2023-09-26 08:49:00+00:00,26267.71,26274.54,26266.67,26277.42,9.434384
